№,Английское слово,Перевод на русский,№,Английское слово,Перевод на русский
119,something ['sʌmθiŋ],"что-то, что-нибудь; примерно",286,heart [ha:t],сердце
120,first [fз:st],первый; сначала,287,answer ['a:n(t)sə],"ответ, отвечать; откликаться"
121,make  [meik],"делать, производить; совершать",288,small [smɔ:l],маленький
122,head [hed],голова,289,yeah [jɛə],да
123,want [wɔnt],хотеть,290,doing ['du:iŋ],"дела, акт, действие"
124,turn [tз:n],поворачивать(ся),291,four [fɔ:],четыре
125,face [feis],лицо,292,move [mu:v],двигать(ся)
126,made [meid],"сделан, сделанный",293,live [liv],"жить, существовать,"
127,seem [si:m],казаться,294,suddenly ['sʌd(ə)nli],вдруг
128,call [kɔ:l],призыв; звать,295,five [faiv],пять
129,ask [a:sk],спрашивать,296,body ['bɔdy],тело
130,should [ʃud],"1) вспом. глагол; 2)  должен, следует",297,fire ['faiə],огонь; пожар; стрелять; поджигать
131,through [θru:],"через , сквозь",298,mouth [mauθ],рот
132,long [lɔŋ],длинный; долго,299,leave  [li:v],покидать
133,let  [let],позволять,300,smile [smail],улыбка; улыбаться
134,take [teik],брать; доставлять; принимать,301,state [steit],"государство, страна, штат"
135,saw [sɔ:],"видел, пила",302,family ['fæm(ə)li],семья
136,around [ə'raund],"кругом, вокруг; поблизости",303,road [rəud],"дорога, путь"
137,our ['auə],наш,304,front [trʌnt],передний
138,door [dɔ:],дверь,305,laugh [la:f],"смех, смеяться"
139,last [la:st],последний,306,gave [geiv],"давал, передавал"
140,tell  [tel],говорить,307,across [ə'krɔs],"через, сквозь; поперек"
141,might [mait],"мог, мог бы, энергия",308,step [step],шаг; шагать
142,own [əun],свой; владеть,309,quite [kwait],"вполне, совершенно; полностью"
143,night [nait],ночь; вечер,310,change [tʃeindʒ],"менять, изменять"
144,year [jiə],год,311,later ['leitə'],"позже, более поздний"
145,must [mʌst],"должен, обязан",312,together [təgeðə],вместе; совместно
146,because [bi:kɔz],потому что,313,soon [su:n],"скоро, вскоре"
147,voice [vɔis],голос,314,least [li:st],"минимальный, наименьший"
148,such [sʌtʃ],"такой, тот, подобный",315,second ['sek(ə)nd],секунда; второй
149,room [ru:m],комната,316,kill [kil],убивать
150,place [pleis],место; помещать,317,watch [wɔtʃ],"1) смотреть, следить; наблюдение; 2) часы"
151,those [ðəuz],те,318,wife [waif],"жена, супруга"
152,work [wз:k],работа; работать,319,hard [ha:d],"жёсткий, твёрдый"
153,put  [put],положить,320,wait [weit],ждать
154,bill [bil],"счёт, законопроект, клюв",321,sat [sæt],"сидел, находился"
155,nothing ['nʌθiŋ],ничего,322,feeling ['fi:liŋ],"ощущение, чувство"
156,most [məust],"самый большой, наибольший",323,high [hai],высокий
157,house [haus],дом,324,guy [gai],парень
158,why [(h)wai],почему,325,idea [ai:diə],идея; мысль
159,may [mei],мочь; май,326,line [lain],"линия; черта, строка"
160,side [said],сторона,327,fear [fiə],"боязнь, страх"
161,great [greit],"большой, великий",328,miss [mis],"потеря, утрата"
162,these [ði:z],эти,329,bad [bæd],плохой
163,white [(h)wait],белый,330,hair [hɛə],волосы
164,people ['pi:pl],"люди, нация, народ",331,minute ['minit],минута
165,upon [ə'pɔn],на,332,everything ['evriθiŋ],всё
166,left [left],"левый, налево, покинул, уехал",333,please [pli:z],"пожалуйста, желать, хотеть"
167,open ['əup(ə)n],открывать(ся),-,-,-
